Div,WD,Reach,parameter,symbol,value,minimum,maximum,vary
2,17,1,Transmissivity,T01,10000,10000,50000,TRUE
2,17,2,Transmissivity,T01,10000,10000,50000,TRUE
2,17,3,Transmissivity,T01,10000,10000,50000,TRUE
2,17,4,Transmissivity,T02,10000,5000,25000,TRUE
2,17,5,Transmissivity,T02,10000,5000,25000,TRUE
2,17,6,Transmissivity,T02,10000,5000,25000,TRUE
2,17,7,Transmissivity,T02,10000,5000,25000,TRUE
2,17,8,Transmissivity,T02,10000,5000,25000,TRUE
2,17,-1,Storage coefficient,SC01,0.15,0.1,0.2,TRUE
2,17,-1,Aquifer width,AW01,750,1000,3000,TRUE
2,17,6,Aquifer width,AW02,750,100,1000,TRUE
